Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
MRSA3B;39;8,72;1,52;1,818;0,00%;0,579;6,07;5,12;-1,57;7,01;4,89;35,50%;20,85%;1,62;14,52%;17,39%;5.320,75;8.691.590.000,00;1,08;14,47%;;
MRSA3B;39;8,72;1,52;1,818;0,00%;0,579;6,07;5,12;-1,57;7,01;4,89;35,50%;20,85%;1,62;14,52%;17,39%;5.320,75;8.691.590.000,00;1,08;14,47%;;
MRSA5B;40;8,94;1,56;1,865;2,62%;0,594;6,23;5,25;-1,61;7,14;4,98;35,50%;20,85%;1,62;14,52%;17,39%;2.040,40;8.691.590.000,00;1,08;14,47%;;
MRSA5B;40;8,94;1,56;1,865;2,62%;0,594;6,23;5,25;-1,61;7,14;4,98;35,50%;20,85%;1,62;14,52%;17,39%;2.040,40;8.691.590.000,00;1,08;14,47%;;
MRSA6B;44,5;9,95;1,73;2,074;2,35%;0,661;6,93;5,84;-1,79;7,73;5,39;35,50%;20,85%;1,62;14,52%;17,39%;956,75;8.691.590.000,00;1,08;14,47%;;
MRSA6B;44,5;9,95;1,73;2,074;2,35%;0,661;6,93;5,84;-1,79;7,73;5,39;35,50%;20,85%;1,62;14,52%;17,39%;956,75;8.691.590.000,00;1,08;14,47%;;
MRVE3;7,72;-3,26;0,83;0,424;0,00%;0,153;0,59;3,21;-0,67;9,15;7,8;13,20%;-13,06%;1,87;5,02%;-25,34%;60.117.700,00;5.263.330.000,00;1,66;10,61%;;
MSPA3;46,5;-22,44;0,37;1,669;0,26%;0,207;25,74;-31,06;-0,59;-48,78;48,23;-5,37%;-7,44%;1,1;-0,69%;-1,63%;4.062,70;814.013.000,00;0,25;4,31%;;
MSPA4;39,5;-19,06;0,31;1,418;0,34%;0,176;21,87;-26,39;-0,5;-44,1;43,61;-5,37%;-7,44%;1,1;-0,69%;-1,63%;4.158,75;814.013.000,00;0,25;4,31%;;
MTRE3;3,65;7,88;0,39;0,354;13,86%;0,171;0,39;4,22;0,76;9,77;7,49;8,37%;6,78%;2,32;4,38%;4,95%;2.275.340,00;989.206.000,00;0,62;20,29%;;
MTSA4;48,82;10,46;0,91;0,788;9,46%;0,751;1,23;11,02;1,28;7,22;5,19;7,15%;7,54%;4,96;10,11%;8,71%;194.435,00;471.154.000,00;0,02;-4,39%;;
MULT3;27,04;11,26;2,31;5,003;3,78%;1,084;17,8;7,17;-3,03;9,45;8,82;69,81%;44,43%;1,55;16,84%;20,47%;99.630.800,00;6.019.580.000,00;0,91;22,12%;;
MWET3;16;4,28;3,91;0,147;0,00%;0,103;-1,6;-1,47;-0,18;-6,15;-8,89;-9,98%;3,43%;0,86;-7,77%;91,40%;362,5;8.416.000,00;12,91;-0,66%;;
MWET4;8,63;2,31;2,11;0,079;0,00%;0,055;-0,86;-0,79;-0,1;-5,48;-7,91;-9,98%;3,43%;0,86;-7,77%;91,40%;5.289,17;8.416.000,00;12,91;-0,66%;;
MYPK3;9,82;7,5;0,36;0,096;5,11%;0,104;0,54;1,5;-0,47;5,49;3,55;6,38%;2,01%;1,74;9,37%;4,79%;15.719.100,00;4.198.650.000,00;1,34;3,22%;;
NATU3;7,2;-7,13;0,76;0,444;0,00%;0,341;2,1;3,89;-2,61;5,49;4,2;11,41%;-6,22%;1,63;11,61%;-10,65%;77.662.600,00;13.040.800.000,00;0,49;-0,68%;;
NEOE3;31,7;8,73;1,06;0,736;1,79%;0,339;9,55;3,4;-0,69;7,56;5,97;21,65%;8,49%;1,23;10,98%;12,18%;131.027.000,00;36.192.000.000,00;1,47;5,48%;;
NEXP3;2,89;0,12;-0,09;0,088;0,00%;0,294;-0,1;-0,45;-0,08;-0,35;-0,62;-19,52%;73,01%;0,14;-80,24%;-75,94%;13.038,00;-83.100.000,00;-0,01;-12,63%;;
NGRD3;27,78;-12,89;0,57;0,922;0,00%;0,439;1,91;-15,58;3,57;-8,83;3,36;-5,92%;-7,15%;2,83;-3,88%;-4,44%;380.146,00;443.784.000,00;0,04;3,43%;;
NORD3;4,1;0,71;-0,21;9,98;0,00%;1,162;-0,21;-8,11;-0,19;-19,44;-19,44;-123,05%;1405,07%;0,04;-14,46%;-30,13%;1.048,60;-126.827.000,00;-0,3;11,24%;;
NUTR3;2,61;8,38;0,8;0,151;0,00%;0,269;1,09;9,11;5,43;14,28;11,63;1,66%;1,80%;1,53;3,90%;9,55%;8.840,20;43.218.000,00;0,51;15,49%;;
OBTC3;9,81;0;-12.076,70;0;0,00%;1.982,06;-2.432,31;0;-2.432,31;0;0;0,00%;0,00%;0,3;0,00%;0,00%;3.180.640,00;-258.000,00;0;0,00%;;
ODPV3;11,2;10,64;4,74;2,553;8,64%;2,718;-89,83;8,19;-30,23;7,34;6,79;31,18%;23,98%;0,92;47,54%;44,52%;26.464.200,00;1.290.300.000,00;0;7,38%;;
OFSA3;22,6;8,47;1,71;1,058;4,78%;0,835;1,72;5,77;5,49;7,14;6,04;18,35%;12,50%;3,72;18,35%;20,21%;202.386,00;712.492.000,00;0,7;5,81%;;
OIBR3;0,17;-0,03;0;0,246;0,00%;0,003;-0,02;-0,02;0;-3,88;-5,18;-1141,46%;-808,87%;0,59;-17,97%;11,89%;2.930.070,00;-15.496.000.000,00;-0,72;-45,94%;;
OIBR4;2,03;-0,36;-0,04;2,942;0,00%;0,036;-0,21;-0,26;-0,02;-4,12;-5,49;-1141,46%;-808,87%;0,59;-17,97%;11,89%;174.406,00;-15.496.000.000,00;-0,72;-45,94%;;
ONCO3;2,72;-1,1;3,17;0,519;0,00%;0,375;9,23;7,69;-0,78;18,64;10,16;6,75%;-49,09%;1,12;5,80%;-289,63%;10.456.400,00;971.212.000,00;5,01;17,50%;;
OPCT3;8,28;27,9;1,72;0,811;0,00%;0,524;2,22;5,07;-1,65;8,64;4,44;15,99%;2,90%;2,67;13,67%;6,15%;4.535.690,00;964.633.000,00;1,88;32,54%;;
ORVR3;69,42;220,41;4,68;6,567;0,00%;1,58;6,97;24,32;-5,38;28,22;16,86;27,00%;4,17%;2,93;9,00%;2,13%;44.689.200,00;1.424.700.000,00;1,48;26,12%;;
